FDO INV IMOB VEREDA - FII,FII VEREDA,VERE
FDO INV IMOB VIA PARQUE SHOPPING - FII,FII V PARQUE,FVPQ
FDO INV IMOB VIDA NOVA - FII,FII VIDANOVA,FIVN
FDO INV IMOB VOTORANTIM LOGISTICA,FII VOT LOG,VTLT
FDO INV IMOB VOTORANTIM SECURITIES,FII VOT SEC,VSEC
FDO INV IMOB VOTORANTIM SHOPPING,FII VOT SHOP,VSHO
FDO INV. IMOB. FOF INTEGRAL BREI,FII FOF BREI,IBFF
FDO INV. IMOB. PLURAL RECEBIVEIS,FII PLURAL R,PLCR
FDO INV. IMOB. PLUS,FII PLUS,VTPL
FDO INV. IMOB. VBI CRI,FII VBI CRI,CVBI
FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII,FII MAUA,MCCI
FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,FII ATRIO,ARRI
FDO. INV. IMOB. HOUSI,FII HOUSI,HOSI
FDO. INV. IMOB. MOGNO HOTEIS,FII MOGNO HT,MGHT
FDO. INVEST. IMOB. RB CAPITAL I FUNDO DE FUNDOS,FII RB CFOF,RFOF
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL V,FII VOTP V,VTPA
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL XII,FII VOTP XII,VTXI
FDO.INVEST. IMOB. MULTI RENDA URBANA,FII MULT REN,HBRH
FII IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,FII IRIDIUM,IRDM
FUND. INVEST. IMOB. FII PANAMBY RENDA MASTER,FII PAN REN,PBYR
FUND. INVEST. IMOB. SUCCESPAR VAREJO,FII S VAREJO,SPVJ
FUNDO DE FDO INV IMOB KINEA FII,FII KINEAFOF,KFOF
FUNDO DE INVESTIMENTO IMOBILIÁRIO MINT EDUCACIONAL,FII MINT EDU,MINT
FUNDO INV IMOB - OURINVEST CYRELA - FII,FII OURICYRE,OUCY
GALAPAGOS FDO DE FDO - FII FDO INV. IMOB.,FII GALAPAGO,GCFF
GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI,FII GENERAL,GSFI
GGR COVEPI RENDA FDO INV IMOB,FII GGRCOVEP,GGRC
GRUPO RCFA FDO INV IMOB,FII GP RCFA,RCFA
HABITAT II - FDO INV IMOB,FII HABIT II,HABT
HAZ FDO INV IMOB - FII,FII HAZ,ATCR
HECTARE CE - FDO INV IMOB,FII HECTARE,HCTR
HEDGE AAA FDO. INV. IMOB.,FII HEDGEAAA,HAAA
HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB,FII HATRIUM,ATSA
HEDGE BRASIL SHOPPING FDO INV IMOB,FII HEDGEBS,HGBS
HEDGE LOGÍSTICA FDO. INV. IMOB.,FII HEDGELOG,HLOG
HEDGE REALTY DEVELOPMENT FDO INV IMOB,FII HREALTY,HRDF
HEDGE RECEBÍVEIS FDO. INVEST. IMOB.,FII HEDGEREC,HREC
HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.,FII HEDGE RE,HPDP
HEDGE SHOPPING PRAÇA DA MOÇA FDO INV IMOB,FII HEDMOCA,HMOC
HEDGE TOP FOFII 3 FDO INV IMOB,FII HTOPFOF3,HFOF
HEDGE TOP FOFII FDO INV IMOB,FII HTOPFOF,TFOF
HSI MALL FDO INV IMOB,FII HSI MALL,HSML
HSI RENDA IMOB FDO INV IMOB,FII ICON,PRGD
HUSI FDO INV. IMOB.,FII HUSI,HUSI
INTER TÍTULOS IMOB. FDO INV. IMOB.,FII INTER,BICR
JHSF RIO BRAVO FAZENDA BOA VISTA CAP. PROT. - FII,FII JHSF FBV,RBBV
JPP ALLOCATION MOGNO - FDO INV IMOB,FII JPPMOGNO,JPPA
JPP CAPITAL FDO INV IMOB - FII,FII JPP CAPI,JPPC
JS REAL ESTATE MULTIGESTÃO - FII,FII JS REAL,JSRE
JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL,FII JT PREV,JTPR
KINEA HIGH YIELD CRI FDO INV IMOB - FII,FII KINEA HY,KNHY
KINEA II REAL ESTATE EQUITY FDO INV IMOB,FII KII REAL,KNRE
KINEA ÍNDICES DE PREÇOS FDO INV IMOB - FII,FII KINEA IP,KNIP
KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,FII KINEA,KNRI
KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII,FII KINEA RI,KNCR
LATERES FDO INV IMOB - FII,FII LATERES,LATR
LEGATUS SHOPPINGS FDO. INV. IMOB. - FII,FII LEGATUS,LASC
LOFT I - FDO INV IMOB,FII LOFT I,LOFT
LOGCP INTER FDO INV IMOB,FII LGCP INT,LGCP
LUGGO FDO. INV. IMOB.,FII LUGGO,LUGG
MAC FDO INV IMOB,FII MAC,DMAC
MALLS BRASIL PLURAL FDO INV IMOB,FII MALLS BP,MALL
MAXI RENDA FDO INV IMOB - FII,FII MAXI REN,MXRF
MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FII - FII,FII MERITO I,MFII
MORE REAL ESTATE FOF FII FDO. INV. IMOB.,FII MORE RE,MORE
MULTI PROPERTIES FDO INV IMOB - FII,FII MULTPROP,PRTS
MULTI SHOPPINGS FDO INV IMOB - FII,FII MULTSHOP,SHOP
MULTIGESTÃO RENDA COMERCIAL FDO INV IMOB - FII,FII MTGESTAO,DRIT
MULTIOFFICES 1 – FDO. INV. IMOB,FII MULT OF1,MTOF
MULTIOFFICES 2 - FDO. INV. IMOB.,FII MULT OF2,MOFF
NEWPORT LOGÍSTICA FDO INV. IMOB.,FII NEWPORT,NEWL
NEWPORT RENDA URBANA FDO INV IMOB,FII NEWRU,NEWU
NOVA I - FDO INV IMOB - FII,FII NOVA I,NVIF
OPPORTUNITY FDO INV IMOB,FII OPPORTUN,FTCE
OURINVEST JPP FDO INV IMOB - FII,FII OURI JPP,OUJP
OURO VERDE DESENV IMOB I FDO INV IMOB - FII,FII OURO PRT,ORPD
PARKING PARTNERS FDO. INVEST. IMOB.,FII PARK PAR,VTVI
PÁTRIA EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII,FII PATRIA,PATC
PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII PATR LOG,PATL
PERSONALE I FDO INV IMOB - FII,FII PERSONAL,PRSN
POLO FDO INV IMOB - FII RECEBÍVEIS IMOBILIÁRIOS I,FII POLO I,PLRI
POLO FDO INV IMOB - RECEBÍVEIS IMOB II - FII,FII POLO CRI,PORD
PROLOGIS BRAZIL LOGISTICS VENTURE FDO INV IMOB,FII PROLOGIS,PBLV
QUASAR AGRO - FDO INV. IMOB.,FII QUASAR A,QAGR
RB CAPITAL DESENV RESID III FDO INV IMOB - FII,FII RBRESID3,RSPD
RB CAPITAL DESENV. RESID. II FDO INV IMOB - FII,FII RBRESID2,RBDS
RB CAPITAL DESENV. RESIDENCIAL IV FDO. INV. IMOB.,FII RBRES IV,RBIR
RB CAPITAL GENERAL SHOP SULACAP FDO INV IMOB - FII,FII RB GSB I,RBGS
RB CAPITAL OFFICE INCOME FDO INV. IMOB.,FII R INCOME,RBCO
RB CAPITAL RECEBÍVEIS IMOB. FDO. INVEST. IMOB FII,FII RBCAP RI,RRCI
RB CAPITAL RENDA I FDO INV IMOB - FII,FII RB CAP I,FIIP
RB CAPITAL RENDA II FDO INV IMOB - FII,FII RB II,RBRD
RB CAPITAL RENDIMENTOS IMOB FDO INV IMOB - FII,FII RB CRI,RCRI
RB CAPITAL TFO SITUS FDO INV IMOB - FII,FII RB TFO,RBTS
RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FDO INV IMOB,FII RBRALPHA,RBRF
RBR DESENV COMERCIAL FEEDER FOF FDO INVEST IMOB,FII RBR FEED,RCFF
RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII RBR LOG,RBRL
REAG RENDA IMOBILIARIA FDO INV IMOB - FII,FII DOMO,DOMC
RIO BRAVO CRÉDITO IMOB IV FDO INV IMOB - FII,FII RBCRI IV,RBIV
RIO BRAVO CRÉDITO IMOBILIÁRIO II FDO INV IMOB -FII,FII RIOBCRI2,RBVO
RIO BRAVO IFIX FDO INV IMOB,FII RIOB FF,RBFF
SANTANDER AGÊNCIAS FDO INV IMOB - FII,FII SANT AGE,SAAG
SANTANDER PAPEIS IMOB CDI FDO INV IMOB,FII SANT PAP,SADI
SANTANDER RENDA DE ALUGUÉIS FDO. INVEST. IMOB.,FII SANT REN,SARE
SAO DOMINGOS FDO INV IMOB - FII,FII DOMINGOS,FISD
SHOPPING WEST PLAZA FDO INV IMOB,FII W PLAZA,WPLZ
SOCOPA FDO INV IMOB - FII,FII REIT RIV,REIT
SP DOWNTOWN FDO INV IMOB - FII,FII SP DOWNT,SPTW
SPA FDO INV IMOB - FII,FII SPA,SPAF
STARX FDO INV IMOB - FII,FII STARX,STRX
TELLUS DESENVOLVIMENTO LOGÍSTICO FDO. INVEST. IMOB,FII TELLUS,TELD
TELLUS PROPERTIES - FDO INV. IMOB,FII TEL PROP,TEPP
TORDESILHAS EI FDO. INV. IMOB.,FII TORDE EI,TORD
TRANSINC FDO INV IMOB - FII,FII TRANSINC,TSNC
TREECORP REAL ESTATE FDO INV IMOB - I,FII TREECORP,TCPF
TRX EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII,FII TRXE COR,XTED
TRX REAL ESTATE FDO. INV. IMOB. - FII,FII TRX REAL,TRXF
TRX REAL ESTATE II FDO. INVEST. IMOB.,FII TRX R II,TRXB
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII URCA REN,URPR
V2 RENDA IMOBILIARIA FDO INV IMOB - FII,FII V2 RENDA,V2CR
VALORA CRI ÍNDICE DE PREÇO FDO INVEST. IMOB. FII,FII VALORAIP,VGIP
VALORA RE III FDO INV IMOB - FII,FII VALREIII,VGIR
VBI REITS FOF - FDO. INV. IMOB,FII VBI REIT,RVBI
VECTIS JUROS REAL FDO INV. IMOB. - FII,FII VECTIS,VCJR
VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB,FII VQ LAJES,VLJS
VIC DESENVOLVIMENTO VINTAGE 20/21 FUND INVEST IMOB,FII VIC DES,VIDS
VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB - FII,FII VINCI IF,VIFI
VINCI LOGÍSTICA FDO INV IMOB - FII,FII VINCILOG,VILG
VINCI OFFICES FDO INV IMOB,FII VINC COR,VINO
VINCI SHOPPING CENTERS FDO INVEST IMOB - FII,FII VINCI SC,VISC
VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII,FII V MASTER,VOTS
VX XVI - FDO INV. IMOB.,FII VX XVI,VXXV
XP CORPORATE MACAÉ FDO INV IMOB - FII,FII XP MACAE,XPCM
XP CREDITO IMOBILIÁRIO - FDO INV IMOB,FII XP CRED,XPCI
XP HOTÉIS - FDO INV IMOB - FII,FII XP HOT,XPHT
XP INDUSTRIAL FDO INV IMOB - FII,FII XP INDL,XPIN
XP LOG FDO INV IMOB - FII,FII XP LOG,XPLG
XP MALLS FDO INV IMOB FII,FII XP MALLS,XPML
XP PROPERTIES FDO. INV. IMOB.,FII XP PROP,XPPR
XP SELECTION FDO DE FUNDOS INV IMOB - FII,FII XP SELEC,XPSF
YAGUARA CAPITAL HIGH YIELD FDO INV IMOB,FII YAGUARA,YCHY
